exercise_id,muscle_id
54c6802b-4e06-5294-af30-87c4df06eaa8,437b0947-8395-469d-b78c-aa1ab7c70c2d
f8e66212-b4fe-5749-be92-ab7fd1bb9ce1,849b5205-45cc-47ad-b518-808b497b7ee5
2e1f3fd7-88fb-5a6f-bdce-990b567b4bce,e256882e-b242-4076-be79-2bf1ed03f7fa
2e1f3fd7-88fb-5a6f-bdce-990b567b4bce,eae93354-9f12-4402-a7b9-d374fac3daec
2e1f3fd7-88fb-5a6f-bdce-990b567b4bce,849b5205-45cc-47ad-b518-808b497b7ee5
fa488c76-c35a-5430-beb0-a63501ed7b4f,3b8df81a-ab7b-437a-812d-a692835ff9a9
37252414-400e-52a0-899a-cfc93235c78c,8cff1021-5d71-4c95-aef0-f9204c21796b
b72e3c2d-5cbc-54e1-9d3a-caa2866597f8,8cff1021-5d71-4c95-aef0-f9204c21796b
5ede30bb-f109-5b34-98ce-c7fe12b78619,d4e388b2-48ae-4f2e-96bb-cb734ddc5c33
5ede30bb-f109-5b34-98ce-c7fe12b78619,5616ed6b-b823-44d9-b66d-aec168301b7e
5ede30bb-f109-5b34-98ce-c7fe12b78619,437b0947-8395-469d-b78c-aa1ab7c70c2d
5ede30bb-f109-5b34-98ce-c7fe12b78619,e256882e-b242-4076-be79-2bf1ed03f7fa
5ede30bb-f109-5b34-98ce-c7fe12b78619,eae93354-9f12-4402-a7b9-d374fac3daec
63712494-e437-5794-a6d5-6cccb0f417be,53381e7d-b28a-47d9-9635-4995d838af4a
86e5fd89-85a9-591e-9494-a232d0bbf979,d57cb37b-2f4c-4ea6-bd36-d7cd4a1bd589
86e5fd89-85a9-591e-9494-a232d0bbf979,849b5205-45cc-47ad-b518-808b497b7ee5
86e5fd89-85a9-591e-9494-a232d0bbf979,53381e7d-b28a-47d9-9635-4995d838af4a
86e28cfc-a2e2-5872-9395-da457fce90a8,20f9edbe-a4ae-4fea-a0f8-c04423ffd6de
86e28cfc-a2e2-5872-9395-da457fce90a8,437b0947-8395-469d-b78c-aa1ab7c70c2d
86e28cfc-a2e2-5872-9395-da457fce90a8,8cff1021-5d71-4c95-aef0-f9204c21796b
86e28cfc-a2e2-5872-9395-da457fce90a8,e256882e-b242-4076-be79-2bf1ed03f7fa
86e28cfc-a2e2-5872-9395-da457fce90a8,3482820a-71a3-4b72-8375-b3b6c7a1dd49
86e28cfc-a2e2-5872-9395-da457fce90a8,e334bac8-5b52-482a-8f58-25cd67accf14
0307c0e1-0cae-58fd-b54c-95532267e90a,53381e7d-b28a-47d9-9635-4995d838af4a
c7b4e77c-a68a-57fc-8a57-bba6652e0ce0,20f9edbe-a4ae-4fea-a0f8-c04423ffd6de
c7b4e77c-a68a-57fc-8a57-bba6652e0ce0,c96c0331-606d-4cb9-bad1-639457499308
83c59b76-de42-516f-bd96-64491bc5c817,d57cb37b-2f4c-4ea6-bd36-d7cd4a1bd589
83c59b76-de42-516f-bd96-64491bc5c817,20f9edbe-a4ae-4fea-a0f8-c04423ffd6de
83c59b76-de42-516f-bd96-64491bc5c817,698d5731-e2e6-4cef-bce8-19cbefc6d8d0
83c59b76-de42-516f-bd96-64491bc5c817,c96c0331-606d-4cb9-bad1-639457499308
83c59b76-de42-516f-bd96-64491bc5c817,53381e7d-b28a-47d9-9635-4995d838af4a
2f14ba4c-de1b-572a-8d14-0cc1c1954737,e334bac8-5b52-482a-8f58-25cd67accf14
2f14ba4c-de1b-572a-8d14-0cc1c1954737,53381e7d-b28a-47d9-9635-4995d838af4a
29b8ae9b-7af3-5f5f-badc-3ad97d0ff32e,e334bac8-5b52-482a-8f58-25cd67accf14
fcb5d2e7-4ead-5539-960c-9a93dabc3fe0,53381e7d-b28a-47d9-9635-4995d838af4a
