id,created_at,updated_at,food_id,name,unit_code,grams
6527f34e-1ced-50b1-bb45-b92818cb9741,,,745226b7-e3aa-57e1-a7fb-0bd27db12acb,100g phần,GRAM,100.0
05ba46a2-7230-5b39-8542-f60a4a863a21,,,745226b7-e3aa-57e1-a7fb-0bd27db12acb,1 large egg,GRAM,50.0
0ccfb841-7c4d-54ca-bb0e-c37f169435f1,,,4e3894e2-21fb-5fad-b57f-8bb25d4e4109,100g phần,GRAM,100.0
2755f111-2935-5c00-b3d8-ed34534a757b,,,4e3894e2-21fb-5fad-b57f-8bb25d4e4109,1 tbsp,GRAM,14.0
d35f2254-11ed-5987-b352-d5aeed15a63b,,,372e978a-44ff-53bc-b6b0-dbcf4b4ed9ab,100g phần,GRAM,100.0
e781e120-d727-5901-8769-7f1e83694001,,,372e978a-44ff-53bc-b6b0-dbcf4b4ed9ab,2 tbsp,GRAM,32.0
d7e4fa51-1cd2-5e9b-aaec-fabfda778ae2,,,3dd2dc76-4785-5ad9-a3ee-a58e117fbf69,100g phần,GRAM,100.0
6394d260-5071-52e3-b2de-2cc814e95145,,,3dd2dc76-4785-5ad9-a3ee-a58e117fbf69,2 tbsp,GRAM,32.0
c425b6be-0a41-59c8-bb18-df0451de2087,,,6ddc6910-8c32-577f-8f88-cab7d08995e1,100g phần,GRAM,100.0
e914f80d-913b-5454-bf95-328b4e1448ea,,,6ddc6910-8c32-577f-8f88-cab7d08995e1,0.5 cup,GRAM,78.0
f063614d-57c2-5add-82d9-4b41cf088276,,,765a8403-a07e-5e5a-a00c-793879d34177,100g phần,GRAM,100.0
b1a0e80e-04c3-5562-a254-c74a709e09ba,,,765a8403-a07e-5e5a-a00c-793879d34177,1 cup,GRAM,30.0
69f7c0a5-6ce3-5a26-90cc-5ca593f6940d,,,51e19002-dc60-5a46-b2a0-ded376395e6c,100g phần,GRAM,100.0
8eecc477-67bb-55d7-aa2b-a7b68a36a9ee,,,51e19002-dc60-5a46-b2a0-ded376395e6c,2 tbsp,GRAM,32.0
79778e18-a13f-5c00-829d-671b1a0c6c79,,,df4edc09-f5c3-579e-a70e-c2703cabfe03,100g phần,GRAM,100.0
944c476e-6f90-52ae-a496-bd06593a0448,,,df4edc09-f5c3-579e-a70e-c2703cabfe03,5 cracker,GRAM,30.0
3c749ba8-1f7e-5b3a-84ed-4f5ba9ed0a4e,,,641fac43-ee70-58a4-9088-c6d541dff2e1,100g phần,GRAM,100.0
675fb5e2-d346-59e6-b08b-89f2c331593f,,,641fac43-ee70-58a4-9088-c6d541dff2e1,1 piece,GRAM,63.0
49dbcb06-1b85-5f26-8bc8-11ecc29c3553,,,a11d6203-6d6f-578f-81d6-e4d03c534e83,100g phần,GRAM,100.0
f62ed783-1532-5334-a315-2bba04d6f4bc,,,a11d6203-6d6f-578f-81d6-e4d03c534e83,9 cracker,GRAM,28.8
4c362416-e9e9-5033-99c2-ab6e7943cbbd,,,0ae59f11-9e16-56f4-bfdd-9c4bbbfe6403,100g phần,GRAM,100.0
